Country,Gini coefficient 2005_2013,Internat_access_per100ppl_2015,Avg_CDVI,FEWS,HDI ,GDP,population,infant_mortality,urban,urban_growth,life_expectancy,female_policy,mobile,fuel_exports,fuel_imports,pm25,co2,energy,water,land,renewable,coal
Russian Federatoin,27.3,73,-0.563819,0.77,0.78,23162.63216,144342396,9.6,74.101,0.295827456,70.90853659,12.7,163.2649275,69.87429274,1.581643346,16.63374961,11.85752777,8.190571971,29981.99148,7.518031223,3.455932262,1
Rwanda,39.7,18,2.27484,0.25,0.51,1913.402063,11917508,41.7,29.775,5.737075847,66.62087805,63.8,69.9196415,0.198314947,4.049744575,49.71362154,0.074016446,5.337639351,837.3469429,46.59505472,88.44690473,0
Saint Kitts & Nevis,NA,NA,NA,0.55,0.75,26685.99418,54821,10.5,32.153,1.307656035,.,13.3,136.8702304,NA,NA,NA,4.2989449,2.68322602,446.6030257,19.23076923,1.493438587,0
Saint Lucia,NA,NA,NA,0.62,0.71,11545.77584,178015,14.3,18.54,0.650517539,75.2835122,16.7,94.81554638,0.22541367,24.65233449,14.00929929,2.307191321,3.186996993,1700.477834,4.918032787,2.145866049,0
Saint Vincent/Grenadines,NA,NA,NA,0.62,0.72,11605.61029,109643,18.3,50.899,0.858405264,73.06495122,13,102.98019,NA,NA,14.25163381,1.91134541,2.832899125,914.4362044,12.82051282,7.499808797,0
Saudi Arabia,33.9,70,3.230642,0.51,0.84,54430.86113,32275687,14.5,83.331,2.492920855,74.5744878,19.9,157.5984256,84.93700722,1.565340968,106.1617369,19.5292718,5.832764901,77.98101435,1.629072099,0.006008743,0
Senegal,NA,22,2.394951,0.39,0.49,2567.80042,15411614,47.2,44.065,3.644334493,66.66143902,42.7,98.67802569,19.18716371,29.69214278,37.57020675,0.608809117,5.098084325,1773.669952,16.62078637,43.29716965,0
Serbia,40.3,65,0.252872,0.74,0.75,14511.79145,7057412,6.7,55.668,-0.329792185,75.48780488,34,120.6199913,NA,NA,21.43664968,5.282521917,6.123958771,1179.007138,29.79304825,23.42929123,1
Sierra Leone,65.8,3,2.235714,0.29,0.37,1473.403805,7396190,120.4,40.318,3.11242846,51.41285366,12.4,97.6203972,0.012842457,38.2946352,19.29960911,0.184925702,5.725464982,22601.54521,21.94513716,73.05429458,0
Slovakia,NA,85,-0.239744,0.79,0.83,30631.95391,5428704,7.3,53.468,-0.152504441,77.21219512,20,127.9869675,4.611760015,10.46687466,20.52367065,5.661581328,4.655303805,2325.302857,28.99804517,12.14105169,0
Slovenia,26.6,73,-0.091423,0.84,0.87,32884.53889,2064845,2.6,49.627,0.017372091,81.07804878,36.7,114.5590253,6.187993323,13.01476373,20.3499567,6.213686845,4.812235446,9054.404019,9.145481629,22.67789442,1
South Africa,NA,90,1.399647,0.63,0.66,13225.43723,55908865,40.5,65.295,2.376645257,61.93409756,41.8,142.3848372,10.98986089,23.3818269,29.6286252,9.045270345,9.156227505,827.381378,10.30426432,16.58715452,1
Spain,35.8,79,0.141356,0.79,0.87,36309.8443,46443959,4.1,79.802,0.271783712,83.3804878,39.1,109.7403864,6.674910164,20.93536348,9.738283342,5.033824487,3.250094677,2392.381453,24.54569081,17.35173648,1
Sri Lanka,36.4,30,0.901585,0.52,0.75,12316.16411,21203000,9.8,18.407,1.401506939,74.98895122,5.8,118.4947757,2.654188572,22.85380158,27.92362221,0.885545809,2.028808029,2542.005681,20.73034604,57.58517433,0
Sudan,35.3,27,3.022028,0.39,0.47,NA,12230730,92.6,19.03,4.086257881,56.30258537,28.5,21.54685511,NA,NA,32.43740893,0.129749351,1.277912718,2254.797103,NA,29.82963232,0
Suriname,NA,43,0.290365,0.72,0.71,14146.34264,558368,21.3,66.015,0.886155218,71.28619512,25.5,145.9446016,10.63474803,21.06673045,18.47176015,3.634019433,3.381969099,180680.6734,0.416666667,25.38253454,0
Swaziland,51.5,30,1.21945,0.54,0.53,8342.709639,1343098,60.7,21.315,1.842346623,56.91236585,6.2,76.37120859,NA,NA,21.60860671,0.928714992,4.995411386,2038.457351,10.1744186,63.55079827,0
Sweden,26.1,91,-0.479521,0.88,0.9,49174.86379,9903122,3,85.964,1.228560689,82.55121951,43.6,126.6721371,7.98321638,13.57533998,6.241379908,4.478182178,4.728337889,17635.93854,6.353882792,49.53745892,0
Switzerland,32.4,88,-0.028307,0.9,0.92,62881.46051,8372098,3.9,73.99,1.182683765,83.19756098,32,135.6196304,1.537854554,6.564506653,12.89019363,4.311562994,2.317914934,4933.658776,10.12754327,23.45222945,0
Syrian Arab Republic,35.8,30,2.941067,0.66,0.66,NA,18430453,12.9,58.061,-0.938854297,70.25265854,13.2,54.23137169,NA,NA,41.56628282,1.598898459,6.286742518,371.3985614,25.3880085,2.992679827,0
Tajikistan,30.8,19,-0.141209,0.65,0.61,2980.090352,8734951,44.8,26.891,2.562049202,71.00712195,19,106.6821621,NA,NA,50.02908375,0.620466725,5.514201995,7588.417439,5.259896531,40.71364057,0
Thailand,39.4,39,0.774297,0.68,0.72,16916.48048,68863514,12.3,51.54,2.587770039,75.068,6.1,172.6452138,4.800766252,21.7983219,26.35272294,4.621860032,5.562631401,3281.359138,32.90336472,23.58596842,1
Togo,46,7,2.191908,0.31,0.47,1490.926523,7606374,78.4,40.463,3.764742028,59.92370732,17.6,74.91073994,1.393242609,18.49761931,32.67724465,0.362696892,14.52716578,1590.833479,48.72219158,72.82531867,0
Trinidad and Tobago,NA,69,0.705684,0.74,0.77,31907.77772,1364962,20.4,8.352,-0.749800334,70.58885366,31,160.6083527,NA,NA,14.19016577,34.16324263,19.83331212,2835.009114,4.873294347,0.280935357,0
Tunisia,35.8,49,1.755858,0.55,0.72,11598.54859,11403248,14,67.047,1.449145304,75.49704878,31.3,125.821724,13.1898466,18.33534004,44.79266297,2.587059584,3.724773169,376.4388579,18.66632338,12.92407437,0
Turkey,40,54,1.292389,0.75,0.76,24243.92399,79512426,13.5,73.887,2.238395514,75.40709756,14.9,96.87246592,3.761938199,8.598321639,36.40911573,4.491479026,3.54799051,2946.879779,26.90383691,11.57816894,1
Turkmenistan,NA,15,1.488318,0.74,0.7,16880.40662,5662544,51.4,50.396,2.447448946,67.64104878,25.8,157.6673108,NA,NA,31.29449247,12.51729534,14.29495576,257.0322092,4.128274424,0.041262014,0
Uganda,44.6,19,4.141845,0.28,0.48,1848.786757,41487965,54.6,16.444,5.398794171,59.5087561,33.5,55.07464508,2.114099522,23.69053129,60.30064052,0.134656001,7.029147697,1004.291725,34.41053262,89.21553025,0
Ukraine,24.8,49,-0.069572,0.73,0.73,8271.779979,45004645,9,69.915,-0.016216706,71.1895122,12,132.6407689,3.389940473,27.89436885,18.87843558,5.020747064,12.49024606,1217.08925,56.15667455,3.497718466,1
United Arab Emirates,NA,91,1.939429,0.45,0.83,72418.61086,9269612,6.8,85.804,1.558749835,77.4842439,22.5,204.0205231,42.49623997,3.349103119,64.29012818,23.30202251,5.029777052,16.53645677,0.448564593,0.16780695,0
United Kingdom,38,92,0.123243,0.82,0.89,42608.91939,65637239,4.2,82.835,1.07132712,81.60487805,29.6,122.3202721,11.76321026,12.1262975,12.41225066,6.49744049,3.052679658,2244.124881,25.76571736,7.294445315,1
United Republic of Tanzania,37.8,5,3.026929,0.26,0.49,2786.666719,55572201,48.7,32.316,5.307671355,64.90331707,36.6,74.36097518,2.190897704,28.06686955,23.3161196,0.221347372,8.535093517,1608.121196,15.2404606,86.67344532,0
United States of America,41.1,75,-0.17087,0.94,0.91,57466.78711,323127513,6.5,81.788,0.902097108,78.74146341,19.4,127.1579358,11.15637361,14.92077255,8.441199408,16.49366613,5.626817385,8845.961289,16.90145309,8.913332385,1
Uruguay,41.3,65,0.653739,0.78,0.79,21625.26889,3444006,10.1,95.46,0.518459084,77.13163415,16.2,148.7080881,1.133128971,16.37120643,11.48844431,1.973150822,2.910370457,26962.64358,13.77328305,55.43136677,0
Uzbekistan,35.2,43,0.657556,0.68,0.66,6514.326071,31848200,39.1,36.479,2.052790048,71.14568293,16,77.32782184,NA,NA,39.67064264,3.420722746,11.18207431,531.2490856,10.34320639,2.896783711,1
Venezuela,44.8,62,3.083512,0.77,0.76,NA,31568179,14.9,89.043,1.376597189,74.3915122,14.4,86.98981729,NA,NA,23.75584614,6.025697582,5.490554564,26188.75986,3.061050961,12.29750254,1
Viet Nam,35.6,53,1.428558,0.58,0.64,6424.133768,92701100,21.7,34.236,2.967295039,75.89119512,26.7,128.0379261,6.15828225,7.016392065,28.2516555,1.83966563,5.7247032,3961.251597,20.67113878,36.20010563,1
Yemen,35.9,25,4.526206,0.27,0.5,2508.128228,27584213,41.9,35.187,4.116459274,64.72568293,0,67.16990212,70.25825296,2.208521769,52.8289507,0.864834535,3.329745785,80.01119547,2.363770669,1.063803215,0
Zambia,57.5,21,3.263561,0.38,0.56,3922.335309,16591390,64,41.379,4.113383832,61.33958537,18,74.94774192,1.149178466,14.06824689,26.74664908,0.288271141,7.399488412,5134.122879,5.111717941,88.08671076,0
Zimbabwe,NA,16,2.808334,0.46,0.49,2006.374724,16150362,70.7,32.277,2.029803357,60.27934146,31.5,83.1798941,0.555653458,24.55168757,22.86952366,0.779955845,17.7578126,795.5008135,10.33992504,81.13041384,1
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,
